2ID	IID	sex
61361	61361	2
61362	61362	1
61363	61363	2
61364	61364	1
61365	61365	2
61366	61366	2
61367	61367	2
61368	61368	2
61369	61369	2
61370	61370	2
61371	61371	2
61372	61372	1
61373	61373	2
61374	61374	1
61375	61375	2
61376	61376	2
61377	61377	1
61378	61378	1
61379	61379	1
61380	61380	2
61381	61381	2
61382	61382	1
61383	61383	2
61384	61384	2
61385	61385	1
61386	61386	1
61387	61387	1
61388	61388	1
61389	61389	1
61390	61390	1
61391	61391	2
61392	61392	2
61393	61393	1
61394	61394	1
61395	61395	2
61396	61396	1
61397	61397	2
61398	61398	2
61399	61399	1
61400	61400	2
61401	61401	2
61402	61402	2
61403	61403	1
61404	61404	2
61405	61405	1
61406	61406	2
61407	61407	1
61408	61408	0
61409	61409	2
61410	61410	1
61411	61411	1
61412	61412	1
61413	61413	1
61414	61414	2
61415	61415	1
61416	61416	2
61417	61417	2
61418	61418	1
61419	61419	1
61420	61420	2
61421	61421	1
61422	61422	1
61423	61423	1
61424	61424	1
61425	61425	2
61426	61426	1
61427	61427	1
61428	61428	1
61429	61429	2
61430	61430	1
61431	61431	2
61432	61432	2
61433	61433	1
61434	61434	1
61435	61435	2
61436	61436	2
61437	61437	2
61438	61438	1
61439	61439	1
61440	61440	1
61441	61441	1
61442	61442	1
61443	61443	1
61444	61444	1
61445	61445	1
61446	61446	2
61447	61447	1
61448	61448	1
61449	61449	1
61450	61450	1
61451	61451	0
61452	61452	1
61453	61453	1
61454	61454	1
61455	61455	2
61456	61456	1
61457	61457	1
61458	61458	1
61459	61459	2
61460	61460	1
61461	61461	1
61462	61462	2
61463	61463	2
61464	61464	2
61465	61465	0
61466	61466	2
61467	61467	2
61468	61468	1
61469	61469	1
61470	61470	1
61471	61471	2
61472	61472	2
61473	61473	2
61474	61474	2
61475	61475	2
61476	61476	1
61477	61477	1
61478	61478	2
61479	61479	1
61480	61480	1
61481	61481	1
61482	61482	2
61483	61483	2
61484	61484	1
61485	61485	2
61486	61486	1
61487	61487	1
61488	61488	1
61489	61489	2
61490	61490	1
61491	61491	2
61492	61492	1
61493	61493	2
61494	61494	1
61495	61495	1
61496	61496	2
61497	61497	1
61498	61498	1
61499	61499	2
61500	61500	1
61501	61501	1
61502	61502	1
61503	61503	1
61504	61504	2
61505	61505	1
61506	61506	1
61507	61507	1
61508	61508	1
61509	61509	1
61510	61510	1
61511	61511	1
